gene_id,S17S17_1,S17S17_2,S17S17_3,S17SDMSO_1,S17SDMSO_2,S17SDMSO_3,S5S1_1,S5S1_2,S5S1_3,S5SDMSO_1,S5SDMSO_2,S5SDMSO_3,S17S18_1,S17S18_2,S17S18_3,S13S8_1,S13S8_2,S13S8_3,S13SDMSO_1,S13SDMSO_2,S13SDMSO_3,S6S6_1,S6S6_2,S6S6_3,S6SDMSO_1,S6SDMSO_2,S6SDMSO_3
RPS6KA6,0.725347,0.641795,0.645144,0.635354,0.47438,0.488146,0.566738,0.39488,0.709107,0.719524,0.720444,0.760424,0.722365,0.731528,0.815927,0.0552747,0.187291,0.0963457,0.311921,0.0857731,0.113907,0.647201,0.504363,0.705516,0.564926,0.516555,0.407418
RPS6KB1,117.033,110.732,123.125,119.356,119.848,111.766,102.606,74.5411,108.112,126.087,118.532,120.541,129.642,125.64,123.885,63.5666,77.3253,76.2113,90.1486,28.1949,46.7454,114.276,141.483,138.767,105.364,86.4334,91.8972
RPS6KB2,23.2089,24.0642,18.653,24.7176,26.5369,23.9407,30.6873,35.4049,27.1318,33.092,35.7777,35.7603,23.7787,21.2234,24.1205,60.2941,54.2101,53.8724,41.8568,69.4715,53.8519,34.0314,27.6998,29.3262,34.734,43.5615,39.8941
RPS6KC1,1.66191,2.19527,1.84245,1.70405,1.67579,1.49943,1.16772,0.858626,1.31924,1.38254,1.45855,1.38397,1.79115,1.64355,1.99089,1.19119,1.01266,1.17755,1.45382,0.45908,0.795447,1.72707,1.60354,2.02243,1.50294,1.02387,1.08915
RPS6KL1,1.82703,1.98845,1.29735,1.51967,1.82733,1.47673,1.3901,1.40526,1.07244,1.31963,1.2711,1.15319,1.41308,1.44658,1.44164,1.23258,1.10789,1.09498,1.37601,2.06246,2.09718,1.81545,1.96725,1.4728,1.78478,1.86902,1.91055
RPS7,1019.45,1015.97,1419.32,1144.5,1181.55,1411.33,1141.4,1168.05,1024.78,1107.74,1113.25,1130.83,1126.86,996.127,873.705,759.825,719.705,798.531,1028.23,881.242,922.06,1107.92,1010.76,1044.32,1265.61,1227.33,1270.7
RPS8,968.924,921.82,1172.22,1030.99,958.779,1129.45,1042.24,1190.15,1006.31,932.457,1042.45,1038.23,986.349,866.852,839.145,766.229,772.035,787.496,923.267,1034.17,989.568,1160.35,1049.18,1042.95,1078.14,1282.33,1287.73
RPS9,464.067,416.328,495.191,515.423,481.077,533.587,608.994,752.825,554.051,534.915,591.607,588.793,464.347,443.461,397.538,510.604,476.157,462.854,536.894,849.286,674.257,561.599,497.111,508.672,562.693,663.734,652.205
RPSA,474.176,482.0,594.162,544.455,535.112,627.72,546.543,620.095,496.426,472.427,495.487,508.847,467.186,355.396,409.762,570.147,539.416,526.812,576.663,813.406,681.612,627.738,491.597,496.482,666.264,729.995,740.529
RPSAP58,19.7488,18.6356,23.7957,18.1242,17.5344,20.2478,14.7067,17.3393,12.8911,14.8768,15.6571,15.0204,22.1588,18.1403,15.8611,22.6453,22.1439,22.7446,19.6364,30.6273,28.87,18.9663,13.4951,15.4512,20.6897,23.3341,24.7432
